Franklin-Paxinos Full name,Franklin-Paxinos abbreviation,Structural ID,structure Order,red,green,blue,Parent ID,Parent abbreviation,Allen Full name,Allen abbreviation,,,
"Primary visual cortex, monocular area, layer1",V1M-1,2428,18220,112,255,98,2098,V1M,,,,,
"Primary visual cortex, monocular area, layer2/3",V1M-2/3,2429,18230,112,255,98,2098,V1M,,,,,
"Primary visual cortex, monocular area, layer4",V1M-4,2430,18240,112,255,98,2098,V1M,,,,,
"Primary visual cortex, monocular area, layer5",V1M-5,2431,18250,112,255,98,2098,V1M,,,,,
"Primary visual cortex, monocular area, layer6a",V1M-6a,2432,18260,112,255,98,2098,V1M,,,,,
"Primary visual cortex, monocular area, layer16b",V1M-6b,2433,18270,112,255,98,2098,V1M,,,,,
"Primary visual cortex, binocular area",V1B,2133,18280,112,255,98,385,V1,,,,,
"Primary visual cortex, binocular area, layer1",V1B-1,2434,18290,112,255,98,2133,V1B,,,,,
"Primary visual cortex, binocular area, layer2/3",V1B-2/3,2435,18291,112,255,98,2133,V1B,,,,,
"Primary visual cortex, binocular area, layer4",V1B-4,2436,18292,112,255,98,2133,V1B,,,,,
"Primary visual cortex, binocular area, layer5",V1B-5,2437,18293,112,255,98,2133,V1B,,,,,
"Primary visual cortex, binocular area, layer6a",V1B-6a,2438,18294,112,255,98,2133,V1B,,,,,
"Primary visual cortex, binocular area, layer6b",V1B-6b,2439,18295,112,255,98,2133,V1B,,,,,
Cingulate cortex,A24 (Cg),31,18300,112,255,113,315,Isocortex,Anterior cingulate area,ACA,,,
"Cingulate cortex, area 24b ",A24b (Cg1),2345,18810,169,203,142,31,A24 (Cg),,,,,
"Cingulate cortex, area 24b, layer1",A24b (Cg1)-1,2346,18820,169,203,142,2345,A24b (Cg1),,,,,
"Cingulate cortex, area 24b, layer2/3",A24b (Cg1)-2/3,2347,18830,169,203,142,2345,A24b (Cg1),,,,,
"Cingulate cortex, area 24b, layer5",A24b (Cg1)-5,2348,18840,169,203,142,2345,A24b (Cg1),,,,,
"Cingulate cortex, area 24b, layer6a",A24b (Cg1)-6a,2349,18850,169,203,142,2345,A24b (Cg1),,,,,
"Cingulate cortex, area 24b, layer6b",A24b (Cg1)-6b,2350,18860,169,203,142,2345,A24b (Cg1),,,,,
"Cingulate cortex, area 24b2",A24b2 (Cg1),39,18900,113,255,113,31,A24 (Cg),"Anterior cingulate area, dorsal part",ACAd,,,
"Cingulate cortex, area 24b2, layer1",A24b2 (Cg1)-1,935,19000,96,170,75,39,A24b2 (Cg1),"Anterior cingulate area, dorsal part, layer 1",ACAd1,,,
"Cingulate cortex, area 24b2, layer2/3",A24b2 (Cg1)-2/3,211,19100,116,175,88,39,A24b2 (Cg1),"Anterior cingulate area, dorsal part, layer 2/3",ACAd2/3,,,
"Cingulate cortex, area 24b2, layer5",A24b2 (Cg1)-5,1015,19200,137,183,108,39,A24b2 (Cg1),"Anterior cingulate area, dorsal part, layer 5",ACAd5,,,
"Cingulate cortex, area 24b2, layer6a",A24b2 (Cg1)-6a,919,19300,157,199,128,39,A24b2 (Cg1),"Anterior cingulate area, dorsal part, layer 6a",ACAd6a,,,
"Cingulate cortex, area 24b2, layer6b",A24b2 (Cg1)-6b,927,19400,168,203,142,39,A24b2 (Cg1),"Anterior cingulate area, dorsal part, layer 6b",ACAd6b,,,
"Cingulate cortex, area 24a2",A24a2 (Cg2),48,19500,114,255,113,31,A24 (Cg),"Anterior cingulate area, ventral part",ACAv,,,
"Cingulate cortex, area 24a2, layer1",A24a2 (Cg2)-1,588,19600,109,191,85,48,A24a2 (Cg2),"Anterior cingulate area, ventral part, layer 1",ACAv1,,,
"Cingulate cortex, area 24a2, layer2/3",A24a2 (Cg2)-2/3,296,19700,131,198,100,48,A24a2 (Cg2),"Anterior cingulate area, ventral part, layer 2/3",ACAv2/3,,,
"Cingulate cortex, area 24a2, layer5",A24a2 (Cg2)-5,772,19800,155,207,122,48,A24a2 (Cg2),"Anterior cingulate area, ventral part, layer 5",ACAv5,,,
"Cingulate cortex, area 24a2, layer6a",A24a2 (Cg2)-6a,810,19900,167,212,136,48,A24a2 (Cg2),"Anterior cingulate area, ventral part, 6a",ACAv6a,,,
"Cingulate cortex, area 24a2, layer6b",A24a2 (Cg2)-6b,819,20000,178,217,152,48,A24a2 (Cg2),"Anterior cingulate area, ventral part, 6b",ACAv6b,,,
"Cingulate cortex, area 32 (Prelimbic cortex)",A32 (PrL),972,20100,112,255,118,315,Isocortex,Prelimbic area,PL,,,
"Cingulate cortex, area 32 (Prelimbic cortex), layer1",A32 (PrL)-1,171,20200,83,150,66,972,A32 (PrL),"Prelimbic area, layer 1",PL1,,,
"Cingulate cortex, area 32 (Prelimbic cortex), layer2",A32 (PrL)-2,195,20300,101,156,78,972,A32 (PrL),"Prelimbic area, layer 2",PL2,,,
"Cingulate cortex, area 32 (Prelimbic cortex), layer2/3",A32 (PrL)-2/3,304,20400,121,163,95,972,A32 (PrL),"Prelimbic area, layer 2/3",PL2/3,,,
"Cingulate cortex, area 32 (Prelimbic cortex), layer5",A32 (PrL)-5,363,20500,140,178,114,972,A32 (PrL),"Prelimbic area, layer 5",PL5,,,
"Cingulate cortex, area 32 (Prelimbic cortex), layer6a",A32 (PrL)-6a,84,20600,150,182,127,972,A32 (PrL),"Prelimbic area, layer 6a",PL6a,,,
"Cingulate cortex, area 32 (Prelimbic cortex), layer6b",A32 (PrL)-6b,132,20700,160,187,142,972,A32 (PrL),"Prelimbic area, layer 6b",PL6b,,,
Orbital cortex,O,714,20800,128,255,128,315,Isocortex,Orbital area,ORB,,,
Lateral orbital cortex,LO,723,21400,127,255,128,714,O,"Orbital area, lateral part",ORBl,,,
"Lateral orbital cortex, layer1",LO-1,448,21500,37,143,69,723,LO,"Orbital area, lateral part, layer 1",ORBl1,,,
"Lateral orbital cortex, layer2/3",LO-2/3,412,21600,63,148,87,723,LO,"Orbital area, lateral part, layer 2/3",ORBl2/3,,,
"Lateral orbital cortex, layer5",LO-5,630,21700,82,152,98,723,LO,"Orbital area, lateral part, layer 5",ORBl5,,,
"Lateral orbital cortex, layer6a",LO-6a,440,21800,107,168,116,723,LO,"Orbital area, lateral part, layer 6a",ORBl6a,,,
"Lateral orbital cortex, layer6b",LO-6b,488,21900,128,175,128,723,LO,"Orbital area, lateral part, layer 6b",ORBl6b,,,
Medial orbital cortex,MO,731,22000,126,255,128,714,O,"Orbital area, medial part",ORBm,,,
"Medial orbital cortex, layer1",MO-1,484,22100,102,155,63,731,MO,"Orbital area, medial part, layer 1",ORBm1,,,
"Medial orbital cortex, layer2/3",MO-2/3,524,22200,121,162,82,731,MO,"Orbital area, medial part, layer 2",ORBm2,,,
"Medial orbital cortex, layer5",MO-5,582,22300,131,166,95,731,MO,"Orbital area, medial part, layer 2/3",ORBm2/3,,,
"Medial orbital cortex, layer6a",MO-6a,620,22400,150,181,113,731,MO,"Orbital area, medial part, layer 5",ORBm5,,,
"Medial orbital cortex, layer6b",MO-6b,910,22500,161,186,127,731,MO,"Orbital area, medial part, layer 6a",ORBm6a,,,
Ventral orbital cortex,VO,738,22600,125,255,128,714,O,"Orbital area, ventral part",ORBv,,,
"Orbital cortex, ventral part, layer 1",VO-1,2320,22610,125,255,128,738,VO,,,,,
"Orbital cortex, ventral part, layer 2/3",VO-2/3,2321,22620,125,255,128,738,VO,,,,,
"Orbital cortex, ventral part, layer 5",VO-5,2322,22630,125,255,128,738,VO,,,,,
"Orbital cortex, ventral part, layer 6a",VO-6a,2323,22640,125,255,128,738,VO,,,,,
"Orbital cortex, ventral part, layer 6b",VO-6b,2324,22650,125,255,128,738,VO,,,,,
,,,,,,,,,"Orbital area, ventrolateral part",ORBvl,,,
,,,,,,,,,"Orbital area, ventrolateral part, layer 1",ORBvl1,,,
,,,,,,,,,"Orbital area, ventrolateral part, layer 2/3",ORBvl2/3,,,
,,,,,,,,,"Orbital area, ventrolateral part, layer 5",ORBvl5,,,
,,,,,,,,,"Orbital area, ventrolateral part, layer 6a",ORBvl6a,,,
,,,,,,,,,"Orbital area, ventrolateral part, layer 6b",ORBvl6b,,,
Agranular insular cortex,AI,95,23300,112,255,114,315,Isocortex,Agranular insular area,AI,,,
"Agranular insular cortex, layer 1",AI1,2331,23310,112,255,114,95,AI,,,,,
"Agranular insular cortex, layer 2/3",AI2/3,2332,23320,112,255,114,95,AI,,,,,
"Agranular insular cortex, layer 5",AI5,2333,23330,112,255,114,95,AI,,,,,
"Agranular insular cortex, dorsal part",AID,104,23400,113,255,114,95,AI,"Agranular insular area, dorsal part",AId,,,
"Agranular insular cortex, dorsal part, layer1",AID-1,996,23500,74,165,77,104,AID,"Agranular insular area, dorsal part, layer 1",AId1,,,
"Agranular insular cortex, dorsal part, layer2/3",AID-2/3,328,23600,95,171,97,104,AID,"Agranular insular area, dorsal part, layer 2/3",AId2/3,,,
"Agranular insular cortex, dorsal part, layer5",AID-5,1101,23700,114,177,110,104,AID,"Agranular insular area, dorsal part, layer 5",AId5,,,
"Agranular insular cortex, dorsal part, layer6a",AID-6a,783,23800,144,195,129,104,AID,"Agranular insular area, dorsal part, layer 6a",AId6a,,,
"Agranular insular cortex, dorsal part, layer6b",AID-6b,831,23900,156,200,143,104,AID,"Agranular insular area, dorsal part, layer 6b",AId6b,,,
Dorsolateral orbital cortex,DLO,2020,23910,156,200,143,104,AID,,,,,
"Dorsolateral orbital cortex, layer 1",DLO-1,2326,23920,156,200,143,2020,DLO,,,,,
"Dorsolateral orbital cortex, layer 2/3",DLO-2/3,2327,23930,156,200,143,2020,DLO,,,,,
Dorsolateral orbital cortex layer 5,DLO-5,2328,23940,156,200,143,2020,DLO,,,,,
Dorsolateral orbital cortex layer 6a,DLO-6a,2329,23950,156,200,143,2020,DLO,,,,,
Dorsolateral orbital cortex layer 6b,DLO-6b,2330,23960,156,200,143,2020,DLO,,,,,
"Agranular insular cortex, posterior part",AIP,111,24000,111,255,114,95,AI,"Agranular insular area, posterior part",AIp,,,
"Agranular insular cortex, posterior part, layer1",AIP-1,120,24100,0,154,82,111,AIP,"Agranular insular area, posterior part, layer 1",AIp1,,,
"Agranular insular cortex, posterior part, layer2/3",AIP-2/3,163,24200,20,160,94,111,AIP,"Agranular insular area, posterior part, layer 2/3",AIp2/3,,,
"Agranular insular cortex, posterior part, layer5",AIP-5,344,24300,59,165,106,111,AIP,"Agranular insular area, posterior part, layer 5",AIp5,,,
"Agranular insular cortex, posterior part, layer6a",AIP-6a,314,24400,87,180,124,111,AIP,"Agranular insular area, posterior part, layer 6a",AIp6a,,,
"Agranular insular cortex, posterior part, layer6b",AIP-6b,355,24500,108,186,137,111,AIP,"Agranular insular area, posterior part, layer 6b",AIp6b,,,
"Agranular insular cortex, ventral part",AIV,119,24600,110,255,114,95,AI,"Agranular insular area, ventral part",AIv,,,
"Agranular insular cortex, ventral part, layer1",AIV-1,704,24700,84,186,88,119,AIV,"Agranular insular area, ventral part, layer 1",AIv1,,,
"Agranular insular cortex, ventral part, layer2/3",AIV-2/3,694,24800,107,192,110,119,AIV,"Agranular insular area, ventral part, layer 2/3",AIv2/3,,,
"Agranular insular cortex, ventral part, layer5",AIV-5,800,24900,129,199,124,119,AIV,"Agranular insular area, ventral part, layer 5",AIv5,,,
"Agranular insular cortex, ventral part, layer6a",AIV-6a,675,25000,153,207,137,119,AIV,"Agranular insular area, ventral part, layer 6a",AIv6a,,,
"Agranular insular cortex, ventral part, layer6b",AIV-6b,699,25100,166,213,152,119,AIV,"Agranular insular area, ventral part, layer 6b",AIv6b,,,
"Cingulate cortex, area 29 and 30 (retrosplenial cortex)",A29-30 (RS),254,25200,112,255,120,315,Isocortex,Retrosplenial area,RSP,,,
,,,,,,,,,"Retrosplenial area, lateral agranular part",RSPagl,,,
,,,,,,,,,"Retrosplenial area, lateral agranular part, layer 1",RSPagl1,,,
,,,,,,,,,"Retrosplenial area, lateral agranular part, layer 2/3",RSPagl2/3,,,
,,,,,,,,,"Retrosplenial area, lateral agranular part, layer 5",RSPagl5,,,
,,,,,,,,,"Retrosplenial area, lateral agranular part, layer 6a",RSPagl6a,,,
,,,,,,,,,"Retrosplenial area, lateral agranular part, layer 6b",RSPagl6b,,,
"Cingulate cortex, area 30 (Retrosplenial dysgranular cortex)",A30 (RSD),879,25900,112,255,120,254,A29-30 (RS),"Retrosplenial area, dorsal part",RSPd,,,
"Cingulate cortex, area 30 (Retrosplenial dysgranular cortex), layer1",A30 (RSD)-1,442,26000,0,139,89,879,A30 (RSD),"Retrosplenial area, dorsal part, layer 1",RSPd1,,,
"Cingulate cortex, area 30 (Retrosplenial dysgranular cortex), layer2/3",A30 (RSD)-2/3,434,26100,34,145,99,879,A30 (RSD),"Retrosplenial area, dorsal part, layer 2/3",RSPd2/3,,,
"Cingulate cortex, area 30 (Retrosplenial dysgranular cortex), layer4",A30 (RSD)-4,545,26200,35,145,99,879,A30 (RSD),"Retrosplenial area, dorsal part, layer 4",RSPd4,,,
"Cingulate cortex, area 30 (Retrosplenial dysgranular cortex), layer5",A30 (RSD)-5,610,26300,60,149,109,879,A30 (RSD),"Retrosplenial area, dorsal part, layer 5",RSPd5,,,
"Cingulate cortex, area 30 (Retrosplenial dysgranular cortex), layer6a",A30 (RSD)-6a,274,26400,86,164,129,879,A30 (RSD),"Retrosplenial area, dorsal part, layer 6a",RSPd6a,,,
"Cingulate cortex, area 30 (Retrosplenial dysgranular cortex), layer6b",A30 (RSD)-6b,330,26500,104,170,142,879,A30 (RSD),"Retrosplenial area, dorsal part, layer 6b",RSPd6b,,,
"Cingulate cortex, area 29 (Retrosplenial granular cortex)",A29 (RSG),886,26600,112,255,120,254,A29-30 (RS),"Retrosplenial area, ventral part",RSPv,,,
"Cingulate cortex, area 29c (Retrosplenial granular cortex c)",A29c (RSGc),2132,26610,112,255,120,886,A29 (RSG),,,,,
"Cingulate cortex, area 29c (Retrosplenial granular cortex c), layer1",A29c (RSGc)-1,542,26700,0,138,79,2132,A29c (RSGc),"Retrosplenial area, ventral part, part c, layer 1",RSPv-c1,,modified ontology,
"Cingulate cortex, area 29c (Retrosplenial granular cortex c), layer2",A29c (RSGc)-2,606,26800,35,145,94,2132,A29c (RSGc),"Retrosplenial area, ventral part, part c, layer 2",RSPv-c2,,modified ontology,
"Cingulate cortex, area 29c (Retrosplenial granular cortex c), layer2/3",A29c (RSGc)-2/3,430,26900,61,149,104,2132,A29c (RSGc),"Retrosplenial area, ventral part, part c, layer 2/3",RSPv-c2/3,,modified ontology,
"Cingulate cortex, area 29c (Retrosplenial granular cortex c), layer5",A29c (RSGc)-5,687,27000,87,163,123,2132,A29c (RSGc),"Retrosplenial area, ventral part, part c, layer 5",RSPv-c5,,modified ontology,
"Cingulate cortex, area 29c (Retrosplenial granular cortex c), layer6a",A29c (RSGc)-6a,590,27100,96,166,129,2132,A29c (RSGc),"Retrosplenial area, ventral part, part c, layer 6a",RSPv-c6a,,modified ontology,
"Cingulate cortex, area 29c (Retrosplenial granular cortex c), layer6b",A29c (RSGc)-6b,622,27200,105,169,135,2132,A29c (RSGc),"Retrosplenial area, ventral part, part c, layer 6b",RSPv-c6b,,modified ontology,
"Cingulate cortex, area 29b (Retrosplenial granular cortex b)",A29b (RSGb),2066,27210,112,255,120,886,A29 (RSG),,,,,
"Cingulate cortex, area 29b (Retrosplenial granular cortex b), layer1",A29b (RSGb)-1,2416,27220,112,255,120,2066,A29b (RSGb),,,,,
"Cingulate cortex, area 29b (Retrosplenial granular cortex b), layer2/3",A29b (RSGb)-2/3,2417,27230,112,255,120,2066,A29b (RSGb),,,,,
"Cingulate cortex, area 29b (Retrosplenial granular cortex b), layer5",A29b (RSGb)-5,2418,27240,112,255,120,2066,A29b (RSGb),,,,,
"Cingulate cortex, area 29b (Retrosplenial granular cortex b), layer6a",A29b (RSGb)-6a,2419,27250,112,255,120,2066,A29b (RSGb),,,,,
"Cingulate cortex, area 29b (Retrosplenial granular cortex b), layer6b",A29b (RSGb)-6b,2420,27260,112,255,120,2066,A29b (RSGb),,,,,
"Cingulate cortex, area 29a (Retrosplenial granular cortex a)",A29a (RSGa),2067,27270,112,255,120,886,A29 (RSG),,,,,
"Cingulate cortex, area 29a (Retrosplenial granular cortex a), layer1",A29a (RSGa)-1,2421,27280,112,255,120,2067,A29a (RSGa),,,,,
"Cingulate cortex, area 29a (Retrosplenial granular cortex a), layer2/3",A29a (RSGa)-2/3,2422,27290,112,255,120,2067,A29a (RSGa),,,,,
"Cingulate cortex, area 29a (Retrosplenial granular cortex a), layer5",A29a (RSGa)-5,2423,27291,112,255,120,2067,A29a (RSGa),,,,,
"Cingulate cortex, area 29a (Retrosplenial granular cortex a), layer6a",A29a (RSGa)-6a,2424,27292,112,255,120,2067,A29a (RSGa),,,,,
"Cingulate cortex, area 29a (Retrosplenial granular cortex a), layer6b",A29a (RSGa)-6b,2425,27293,112,255,120,2067,A29a (RSGa),,,,,
parietal association cortex,PtA,22,27300,112,255,119,315,Isocortex,Posterior parietal association areas,PTLp,,,
,,,,,,,,,"Posterior parietal association areas, layer 1",PTLp1,,,
,,,,,,,,,"Posterior parietal association areas, layer 2/3",PTLp2/3,,,
,,,,,,,,,"Posterior parietal association areas, layer 4",PTLp4,,,
,,,,,,,,,"Posterior parietal association areas, layer 5",PTLp5,,,
,,,,,,,,,"Posterior parietal association areas, layer 6a",PTLp6a,,,
,,,,,,,,,"Posterior parietal association areas, layer 6b",PTLp6b,,,
Medial parietal association cortex,MPtA,2056,27910,105,169,135,22,PtA,,,,,
"Medial parietal association cortex, layer 1",MPtA-1,2381,27911,105,169,135,2056,MPtA,,,,,
"Medial parietal association cortex, layer 2/3",MPtA-2,2382,27912,105,169,135,2056,MPtA,,,,,
"Medial parietal association cortex, layer 4",MPtA-4,2383,27913,105,169,135,2056,MPtA,,,,,
"Medial parietal association cortex, layer 5",MPtA-5,2384,27914,105,169,135,2056,MPtA,,,,,
"Medial parietal association cortex, layer 6a",MPtA-6a,2385,27915,105,169,135,2056,MPtA,,,,,
"Medial parietal association cortex, layer 6b",MPtA-6b,2386,27916,105,169,135,2056,MPtA,,,,,
Lateral parietal association cortex,LPtA,2057,27920,105,169,135,22,PtA,,,,,
"Lateral parietal association cortex, layer 1",LPtA-1,2387,27921,105,169,135,2057,LPtA,,,,,
"Lateral parietal association cortex, layer 2/3",LPtA-2/3,2388,27922,105,169,135,2057,LPtA,,,,,
"Lateral parietal association cortex, layer 4",LPtA-4,2389,27923,105,169,135,2057,LPtA,,,,,
"Lateral parietal association cortex, layer 5",LPtA-5,2390,27924,105,169,135,2057,LPtA,,,,,
"Lateral parietal association cortex, layer 6a",LPtA-6a,2391,27925,105,169,135,2057,LPtA,,,,,
"Lateral parietal association cortex, layer 6b",LPtA-6b,2392,27926,105,169,135,2057,LPtA,,,,,
"parietal cortex, posterior area, dorsal part",PtPD,2082,27940,112,255,119,22,PtA,,,,,
"Parietal cortex, posterior area, dorsal part, layer1",PtPD-1,2402,27941,112,255,119,2082,PtPD,,,,,
"Parietal cortex, posterior area, dorsal part, layer2/3",PtPD-2/3,2403,27942,112,255,119,2082,PtPD,,,,,
"Parietal cortex, posterior area, dorsal part, layer4",PtPD-4,2404,27943,112,255,119,2082,PtPD,,,,,
"Parietal cortex, posterior area, dorsal part, layer5",PtPD-5,2405,27944,112,255,119,2082,PtPD,,,,,
"Parietal cortex, posterior area, dorsal part, layer6a",PtPD-6a,2406,27945,112,255,119,2082,PtPD,,,,,
"Parietal cortex, posterior area, dorsal part, layer6b",PtPD-6b,2407,27946,112,255,119,2082,PtPD,,,,,
Temporal association cortex,TeA ,541,28000,112,255,122,315,Isocortex,Temporal association areas,TEa,,,
"Temporal association cortex, layer1",TeA-1,97,28100,0,140,110,541,TeA ,"Temporal association areas, layer 1",TEa1,,,
"Temporal association cortex, layer2/3",TeA-2/3,1127,28200,0,145,121,541,TeA ,"Temporal association areas, layer 2/3",TEa2/3,,,
"Temporal association cortex, layer4",TeA-4,234,28300,56,151,133,541,TeA ,"Temporal association areas, layer 4",TEa4,,,
"Temporal association cortex, layer5",TeA-5,289,28400,82,165,150,541,TeA ,"Temporal association areas, layer 5",TEa5,,,
"Temporal association cortex, layer6a",TeA-6a,729,28500,102,170,157,541,TeA ,"Temporal association areas, layer 6a",TEa6a,,,
"Temporal association cortex, layer6b",TeA-6b,786,28600,124,177,165,541,TeA ,"Temporal association areas, layer 6b",TEa6b,,,
Perihinal cortex,PRh,922,28700,112,255,117,315,Isocortex,Perirhinal area,PERI,,,
"Perihinal cortex, layer6a",PRh-6a,335,28800,79,166,164,922,PRh,"Perirhinal area, layer 6a",PERI6a,,,
"Perihinal cortex, layer6b",PRh-6b,368,28900,99,171,173,922,PRh,"Perirhinal area, layer 6b",PERI6b,,,
"Parietal cortex, posterior area, rostral part",PtPR,2286,28930,112,255,119,22,PtA,,,,,
"Parietal cortex, posterior area, rostral part, layer1",PtPR-1,2396,28931,112,255,119,2286,PtPR,,,,,
"Parietal cortex, posterior area, rostral part, layer2/3",PtPR-2/3,2397,28932,112,255,119,2286,PtPR,,,,,
"Parietal cortex, posterior area, rostral part, layer4",PtPR-4,2398,28933,112,255,119,2286,PtPR,,,,,
"Parietal cortex, posterior area, rostral part, layer5",PtPR-5,2399,28934,112,255,119,2286,PtPR,,,,,
"Parietal cortex, posterior area, rostral part, layer6a",PtPR-6a,2400,28935,112,255,119,2286,PtPR,,,,,
"Parietal cortex, posterior area, rostral part, layer6b",PtPR-6b,2401,28936,112,255,119,2286,PtPR,,,,,
"Perihinal cortex, layer1",PRh-1,540,29000,0,141,133,922,PRh,"Perirhinal area, layer 1",PERI1,,,
"Perihinal cortex, layer5",PRh-5,692,29100,52,151,146,922,PRh,"Perirhinal area, layer 5",PERI5,,,
"Perihinal cortex, layer2/3",PRh-2/3,888,29200,0,146,139,922,PRh,"Perirhinal area, layer 2/3",PERI2/3,,,
Ectorhinal cortex,Ect,895,29300,112,255,115,315,Isocortex,Ectorhinal area,ECT,,,
"Ectorhinal cortex, layer1",Ect-1,836,29400,0,140,121,895,Ect,Ectorhinal area/Layer 1,ECT1,,,
"Ectorhinal cortex, layer2/3",Ect-2/3,427,29500,19,147,133,895,Ect,Ectorhinal area/Layer 2/3,ECT2/3,,,
"Ectorhinal cortex, layer5",Ect-5,988,29600,54,151,140,895,Ect,Ectorhinal area/Layer 5,ECT5,,,
"Ectorhinal cortex, layer6a",Ect-6a,977,29700,80,165,156,895,Ect,Ectorhinal area/Layer 6a,ECT6a,,,
"Ectorhinal cortex, layer6b",Ect-6b,1045,29800,101,171,165,895,Ect,Ectorhinal area/Layer 6b,ECT6b,,,
Olfactory areas,OLF,698,29900,144,255,144,695,CTXpl,Olfactory areas,OLF,,,
Main olfactory bulb,MOB,507,30000,160,255,171,698,OLF,Main olfactory bulb,MOB,,,
Glomerular layer of the olfactory bulb,Gl,212,30100,140,235,151,507,MOB,"Main olfactory bulb, glomerular layer",MOBgl,,,
Granule cell layer of the olfactory bulb,GrO,220,30200,110,205,121,507,MOB,"Main olfactory bulb, granule layer",MOBgr,,,
Internal plxiform layer of the olfactory bulb,IPl,228,30300,160,255,171,507,MOB,"Main olfactory bulb, inner plexiform layer",MOBipl,,,
Mitral cell layer of the olfactory bulb,Mi,236,30400,130,225,141,507,MOB,"Main olfactory bulb, mitral layer",MOBmi,,,
External plexiform layer of the olfactory bulb,EPl,244,30500,160,255,171,507,MOB,"Main olfactory bulb, outer plexiform layer",MOBopl,,,
Accessory olfactory bulb,AOB,151,30600,160,255,176,698,OLF,Accessory olfactory bulb,AOB,,,
Glomerular layer of the accessory olfactory bulb,GlA,188,30700,140,235,156,151,AOB,"Accessory olfactory bulb, glomerular layer",AOBgl,,,
Granule cell layer of the accessory olfactory bulb,GrA,196,30800,110,205,126,151,AOB,"Accessory olfactory bulb, granular layer",AOBgr,,,
Mitral cell layer of the accessory olfactory bulb,MiA,204,30900,130,225,146,151,AOB,"Accessory olfactory bulb, mitral layer",AOBmi,,,
External plexiform layer of the accessory olfactory b,EPIA,2021,30910,130,225,146,151,AOB,,,,,
Anterior olfactory area,AO,159,31000,144,255,184,698,OLF,Anterior olfactory nucleus,AON,,,
Anterior olfactory area dorsal part,AOD,167,31100,192,255,200,159,AO,"Anterior olfactory nucleus, dorsal part",AONd,,,
Anterior olfactory area external part,AOE,175,31200,192,255,201,159,AO,"Anterior olfactory nucleus, external part",AONe,,,
Anterior olfactory area lateral part,AOL,183,31300,192,255,202,159,AO,"Anterior olfactory nucleus, lateral part",AONl,,,
Anterior olfactory area medial part,AOM,191,31400,192,255,203,159,AO,"Anterior olfactory nucleus, medial part",AONm,,,
"Anterior olfactory area, posteroventral part",AOP/AOV,199,31500,192,255,204,159,AO,"Anterior olfactory nucleus, posteroventral part",AONpv,,,
"Anterior olfactory area, ventral part",AOV,2318,31510,192,255,204,199,AOP/AOV,,,,,
"Anterior olfactory area, posterior part",AOP,2319,31520,192,255,204,199,AOP/AOV,,,,,
Anterior olfactory area layer 1,AO1,160,31600,144,255,184,159,AO,"Anterior olfactory nucleus, layer 1",AON1,,,
Anterior olfactory area layer 2,AO2,168,31700,144,255,184,159,AO,"Anterior olfactory nucleus, layer 2",AON2,,,
Taenia tecta,TT,589,31800,160,255,160,698,OLF,Taenia tecta,TT,,,
Dorsal tenia tecta,DTT,597,31900,160,255,162,589,TT,"Taenia tecta, dorsal part",TTd,,,
"Dorsal tenia tecta, layer 1",DTT1,1034,32100,160,255,162,589,DTT,"Taenia tecta, dorsal part, layer 1",TTd1,,,
"Dorsal tenia tecta, layer 2",DTT2,1042,32200,160,255,162,589,DTT,"Taenia tecta, dorsal part, layer 2",TTd2,,,
"Dorsal tenia tecta, layer 3",DTT3,1050,32300,160,255,162,589,DTT,"Taenia tecta, dorsal part, layer 3",TTd3,,,
"Dorsal tenia tecta, layer 4",DTT4,1059,32400,160,255,162,589,DTT,"Taenia tecta, dorsal part, layer 4",TTd4,,,
Ventral tenia tecta,VTT,605,32500,160,255,161,589,TT,"Taenia tecta, ventral part",TTv,,,
"Ventral tenia tecta, layer 1",VTT1,1067,32700,160,255,161,589,VTT,"Taenia tecta, ventral part, layer 1",TTv1,,,
"Ventral tenia tecta, layer 2",VTT2,1075,32800,160,255,161,589,VTT,"Taenia tecta, ventral part, layer 2",TTv2,,,
"Ventral tenia tecta, layer 3",VTT3,1082,32900,160,255,161,589,VTT,"Taenia tecta, ventral part, layer 3",TTv3,,,
"Cingulate cortex, area 25 (dorsal peduncular cortex)",A25 (DP),814,33000,112,255,125,698,OLF,Dorsal peduncular area,DP,,,
"Cingulate cortex, area 25 (dorsal peduncular cortex), layer1",A25 (DP)-1,496,33100,0,158,81,814,A25 (DP),"Dorsal peduncular area, layer 1",DP1,,,
"Cingulate cortex, area 25 (dorsal peduncular cortex), layer2",A25 (DP)-2,535,33200,60,164,99,814,A25 (DP),"Dorsal peduncular area, layer 2",DP2,,,
"Cingulate cortex, area 25 (dorsal peduncular cortex), layer2/3",A25 (DP)-2/3,360,33300,83,169,111,814,A25 (DP),"Dorsal peduncular area, layer 2/3",DP2/3,,,
"Cingulate cortex, area 25 (dorsal peduncular cortex), layer5",A25 (DP)-5,646,33400,109,185,130,814,A25 (DP),"Dorsal peduncular area, layer 5",DP5,,,
"Cingulate cortex, area 25 (dorsal peduncular cortex), layer6a",A25 (DP)-6a,267,33500,130,192,143,814,A25 (DP),"Dorsal peduncular area, layer 6a",DP6a,,,
Dorsal transition zone,DTr,2019,33510,130,192,143,814,A25 (DP),,,,,
Piriform cortex,PIR,961,33600,160,255,167,698,OLF,Piriform area,PIR,,,
Piriform cortex 1,Pir1,276,33800,160,255,167,961,PIR,"Piriform area, molecular layer",PIR1,,,
